爱情,ài qíng,romance
稍微,shāo wēi,a little bit
社会,shè huì,society
深,shēn,close
申请,shēn qǐng,to apply for sth
甚至,shèn zhì,even
生活,shēng huó,life
生命,shēng mìng,life
省,shěng,to save
剩,shèng,to remain
失败,shī bài,to be defeated
失望,shī wàng,disappointed
师傅,shī fu,master
湿润,shī rùn,moist
狮子,shī zi,lion
十分,shí fēn,to divide into ten equal parts
实际,shí jì,actual
实在,shí zài,really
食品,shí pǐn,foodstuff
使用,shǐ yòng,to use
试,shì,to test
市场,shì chǎng,marketplace
世纪,shì jì,century
适合,shì hé,to fit
适应,shì yìng,to adapt
收,shōu,to receive
收入,shōu rù,to take in
收拾,shōu shi,to put in order
首都,shǒu dū,capital (city)
首先,shǒu xiān,first (of all)
受不了,shòu bù liǎo,unbearable
受到,shòu dào,to receive
售货员,shòu huò yuán,salesperson
输,shū,to lose
熟悉,shú xī,to be familiar with
数量,shù liàng,amount
数字,shù zì,numeral
帅,shuài,handsome
顺便,shùn biàn,conveniently
顺利,shùn lì,smoothly
顺序,shùn xù,sequence
说明,shuō míng,to explain
硕士,shuò shì,master's degree
死,sǐ,to die
速度,sù dù,speed
塑料袋,sù liào dài,plastic bag
酸,suān,sour
算,suàn,to regard as
随便,suí biàn,as one wishes
随着,suí zhe,along with
孙子,sūn zi,grandson
所有,suǒ yǒu,all
抬,tái,to lift
台,tái,typhoon
态度,tài du,manner
谈,tán,to speak
弹,tán,to pluck (a string)
汤,tāng,soup
躺,tǎng,to recline
趟,tàng,classifier for times
讨论,tǎo lùn,to discuss
讨厌,tǎo yàn,to dislike
特点,tè diǎn,characteristic (feature)
提供,tí gōng,to offer
提前,tí qián,to shift to an earlier date
提醒,tí xǐng,to remind
填空,tián kòng,to fill a job vacancy
条件,tiáo jiàn,condition
停止,tíng zhǐ,to stop
挺,tǐng,to stick out
通过,tōng guò,by means of
通知,tōng zhī,to notify
同情,tóng qíng,to sympathize with
推,tuī,to push
推迟,tuī chí,to postpone
脱,tuō,to shed
袜子,wà zi,socks
完全,wán quán,complete
往,wǎng,to go (in a direction)
往往,wǎng wǎng,often
网球,wǎng qiú,tennis
网站,wǎng zhàn,website
危险,wēi xiǎn,danger
味道,wèi dao,flavor
温度,wēn dù,temperature
文章,wén zhāng,article
握手,wò shǒu,to shake hands
污染,wū rǎn,pollution
无,wú,-less
无聊,wú liáo,bored
无论,wú lùn,no matter what or how
误会,wù huì,to misunderstand
西红柿,xī hóng shì,tomato
吸引,xī yǐn,to attract (interest
洗衣机,xǐ yī jī,washer
咸,xián,salted
现代,xiàn dài,modern times
羡慕,xiàn mù,to envy
限制,xiàn zhì,to restrict
香,xiāng,fragrant
相反,xiāng fǎn,opposite
详细,xiáng xì,detailed
响,xiǎng,echo
消息,xiāo xi,news
小说,xiǎo shuō,novel
笑话,xiào huà,joke
效果,xiào guǒ,result
心情,xīn qíng,mood
辛苦,xīn kǔ,hard
信任,xìn rèn,to trust
信心,xìn xīn,confidence
信用卡,xìn yòng kǎ,credit card
兴奋,xīng fèn,excited
行,xíng,to walk
醒,xǐng,to wake up
性别,xìng bié,gender
性格,xìng gé,nature
幸福,xìng fú,happiness
修,xiū,to decorate
许多,xǔ duō,many
血,xuè,blood
压力,yā lì,pressure
牙膏,yá gāo,toothpaste
亚洲,Yà zhōu,Asia
呀,ya,(particle equivalent to 啊 after a vowel
盐,yán,salt
严格,yán gé,strict
严重,yán zhòng,grave
研究生,yán jiū shēng,graduate student
演出,yǎn chū,to act (in a play)
演员,yǎn yuán,actor or actress
阳光,yáng guāng,sunshine
养成,yǎng chéng,to cultivate
样子,yàng zi,appearance
邀请,yāo qǐng,to invite
钥匙,yào shi,key
也许,yě xǔ,perhaps
页,yè,page
叶子,yè zi,foliage
一切,yī qiè,everything
以,yǐ,to use
亿,yì,100 million
意见,yì jiàn,idea
艺术,yì shù,art
因此,yīn cǐ,thus
引起,yǐn qǐ,to give rise to
饮料,yǐn liào,drink
印象,yìn xiàng,impression
赢,yíng,to beat
硬,yìng,hard
勇敢,yǒng gǎn,brave
永远,yǒng yuǎn,forever
优点,yōu diǎn,merit
优秀,yōu xiù,outstanding
幽默,yōu mò,(loanword) humor
由,yóu,to follow
由于,yóu yú,due to
尤其,yóu qí,especially
有趣,yǒu qù,interesting
友好,yǒu hǎo,friendly
友谊,yǒu yì,companionship
愉快,yú kuài,cheerful
于是,yú shì,thereupon
与,yǔ,and
语法,yǔ fǎ,grammar
语言,yǔ yán,language
羽毛球,yǔ máo qiú,shuttlecock
预习,yù xí,to prepare a lesson
圆,yuán,circle
原来,yuán lái,original
原谅,yuán liàng,to excuse
原因,yuán yīn,cause
约会,yuē huì,appointment
阅读,yuè dú,to read
允许,yǔn xǔ,to permit
杂志,zá zhì,magazine
咱们,zán men,we or us (including both the speaker and the person(s) spoken to)
暂时,zàn shí,temporary
脏,zāng,dirty
责任,zé rèn,responsibility
增加,zēng jiā,to raise
增长,zēng zhǎng,to grow
窄,zhǎi,narrow
招聘,zhāo pìn,recruitment
真正,zhēn zhèng,genuine
整理,zhěng lǐ,to arrange
整齐,zhěng qí,orderly
正常,zhèng cháng,regular
正好,zhèng hǎo,just (in time)
正确,zhèng què,correct
正式,zhèng shì,formal
证明,zhèng míng,proof
之,zhī,(possessive particle
支持,zhī chí,to be in favor of
知识,zhī shi,intellectual
直接,zhí jiē,direct
值得,zhí de,to be worth
职业,zhí yè,occupation
植物,zhí wù,botanical
指,zhǐ,finger
只好,zhǐ hǎo,without any better option
只要,zhǐ yào,if only
制造,zhì zào,to manufacture
至少,zhì shǎo,at least
质量,zhì liàng,quality
中文,Zhōng wén,Chinese
重点,zhòng diǎn,important point
重视,zhòng shì,to attach importance to sth
周围,zhōu wéi,surroundings
猪,zhū,hog
逐渐,zhú jiàn,gradually
主动,zhǔ dòng,to take the initiative
主意,zhǔ yi,plan
祝贺,zhù hè,to congratulate
著名,zhù míng,famous
专门,zhuān mén,specialist
专业,zhuān yè,specialty
赚,zhuàn,to earn
撞,zhuàng,to hit
准确,zhǔn què,accurate
准时,zhǔn shí,on time
仔细,zǐ xì,careful
自然,zì rán,nature
总结,zǒng jié,to sum up
租,zū,to hire
组成,zǔ chéng,to form
组织,zǔ zhī,to organize
嘴,zuǐ,mouth
最好,zuì hǎo,best
最后,zuì hòu,final
尊重,zūn zhòng,to esteem
做生意,zuò shēng yì,to do business
座,zuò,seat
座位,zuò wèi,seat
作者,zuò zhě,author
