哎哟,āi yō,hey
奔驰,bēn chí,to run quickly
本能,běn néng,instinct
本钱,běn qián,capital
本人,běn rén,the person himself
本身,běn shēn,itself
本事,běn shi,ability
本着,běn zhe,based on...
笨拙,bèn zhuō,clumsy
崩溃,bēng kuì,to collapse
甭,béng,need not
蹦,bèng,to jump
迸发,bèng fā,to burst forth
逼迫,bī pò,to force
鼻涕,bí tì,nasal mucus
比方,bǐ fang,analogy
比喻,bǐ yù,to compare
比重,bǐ zhòng,proportion
臂,bì,arm
弊病,bì bìng,malady
弊端,bì duān,malpractice
必定,bì dìng,be bound to
闭塞,bì sè,to stop up
碧玉,bì yù,jasper
鞭策,biān cè,to spur on
编织,biān zhī,to weave
边疆,biān jiāng,border area
边界,biān jiè,boundary
边境,biān jìng,frontier
边缘,biān yuán,edge
扁,biǎn,flat
贬低,biǎn dī,to belittle
贬义,biǎn yì,derogatory sense
遍布,biàn bù,to cover the whole (area)
便利,biàn lì,convenient
便条,biàn tiáo,(informal) note
便于,biàn yú,easy to
变故,biàn gù,an unforeseen event
变迁,biàn qiān,changes
变质,biàn zhì,to degenerate
辩护,biàn hù,to speak in defense of
辩解,biàn jiě,to explain
辩证,biàn zhèng,to investigate
辨认,biàn rèn,to recognize
辫子,biàn zi,plait
标本,biāo běn,specimen
标记,biāo jì,sign
标题,biāo tí,title
飙升,biāo shēng,to rise rapidly
表决,biǎo jué,to decide by vote
表态,biǎo tài,to declare one's position
表彰,biǎo zhāng,to honor
憋,biē,to choke
别墅,bié shù,villa
别致,bié zhì,variant of 別緻|别致[bié zhì]
别扭,biè niu,awkward
濒临,bīn lín,on the verge of
冰雹,bīng báo,hail
并存,bìng cún,to exist at the same time
并非,bìng fēi,really isn't
并列,bìng liè,to stand side by side
拨打,bō dǎ,to call
播放,bō fàng,to broadcast
播种,bō zhǒng,to sow seeds
波浪,bō làng,wave
波涛汹涌,bō tāo xiōng yǒng,waves surging forth
剥削,bō xuē,to exploit
博大精深,bó dà jīng shēn,wide-ranging and profound
博览会,bó lǎn huì,exposition
搏斗,bó dòu,to wrestle
伯母,bó mǔ,wife of father's elder brother
薄弱,bó ruò,weak
不顾,bù gù,in spite of
不愧,bù kuì,to be worthy of
不料,bù liào,unexpectedly
不像话,bù xiàng huà,unreasonable
不屑一顾,bù xiè yī gù,to disdain as beneath contempt
补偿,bǔ cháng,to compensate
补救,bǔ jiù,to remedy
补贴,bǔ tiē,to subsidize
哺乳,bǔ rǔ,breast feeding
捕捉,bǔ zhuō,to catch
不得已,bù dé yǐ,to act against one's will
不妨,bù fáng,there is no harm in
不敢当,bù gǎn dāng,lit. I dare not (accept the honor); fig. I don't deserve your praise
不禁,bù jīn,can't help (doing sth)
不堪,bù kān,cannot bear
不可思议,bù kě sī yì,inconceivable (idiom); unimaginable
不时,bù shí,from time to time
不惜,bù xī,not stint
不相上下,bù xiāng shàng xià,equally matched
不言而喻,bù yán ér yù,it goes without saying
不由得,bù yóu de,can't help
不择手段,bù zé shǒu duàn,by fair means or foul
不止,bù zhǐ,incessantly
布告,bù gào,posting on a bulletin board
布局,bù jú,arrangement
布置,bù zhì,to put in order
步伐,bù fá,pace
部署,bù shǔ,to dispose
部位,bù wèi,position
才干,cái gàn,ability
财富,cái fù,wealth
财务,cái wù,financial affairs
财政,cái zhèng,finances (public)
裁缝,cái féng,tailor
裁判,cái pàn,judgment
裁员,cái yuán,to cut staff
采购,cǎi gòu,to procure (for an enterprise etc)
采集,cǎi jí,to gather
采纳,cǎi nà,to accept
彩票,cǎi piào,lottery ticket
参谋,cān móu,staff officer
参照,cān zhào,to consult a reference
残酷,cán kù,cruel
残留,cán liú,to remain
残忍,cán rěn,cruel
灿烂,càn làn,to glitter
舱,cāng,cabin
苍白,cāng bái,pale
仓促,cāng cù,all of a sudden
仓库,cāng kù,depot
操劳,cāo láo,to work hard
操练,cāo liàn,drill
操纵,cāo zòng,to operate
操作,cāo zuò,to work
嘈杂,cáo zá,noisy
草案,cǎo àn,draft (legislation
草率,cǎo shuài,careless
策划,cè huà,to plot
策略,cè lvè,tactics
测量,cè liáng,survey
侧面,cè miàn,lateral side
层出不穷,céng chū bù qióng,more and more emerge
层次,céng cì,arrangement of ideas
差距,chā jù,disparity
查获,chá huò,to investigate and capture (a criminal)
岔,chà,fork in road
刹那,chà nà,an instant (Sanskrit: ksana)
诧异,chà yì,flabbergasted
柴油,chái yóu,diesel fuel
搀,chān,to assist by the arm
馋,chán,gluttonous
缠绕,chán rào,twisting
产业,chǎn yè,industry
阐述,chǎn shù,to expound (a position)
颤抖,chàn dǒu,to shudder
猖狂,chāng kuáng,savage
昌盛,chāng shèng,prosperous
尝试,cháng shì,to try
偿还,cháng huán,to repay
常年,cháng nián,all year round
常务,cháng wù,routine
场合,chǎng hé,situation
场面,chǎng miàn,scene
场所,chǎng suǒ,location
敞开,chǎng kāi,to open wide
倡导,chàng dǎo,to advocate
倡议,chàng yì,to suggest
畅通,chàng tōng,unimpeded
畅销,chàng xiāo,to sell well
超级,chāo jí,super-
超越,chāo yuè,to surpass
钞票,chāo piào,paper money
潮流,cháo liú,tide
潮湿,cháo shī,damp
嘲笑,cháo xiào,to jeer at
撤退,chè tuì,to retreat
撤销,chè xiāo,to repeal
沉淀,chén diàn,to settle
沉闷,chén mèn,oppressive (of weather)
沉思,chén sī,to contemplate
沉重,chén zhòng,heavy
沉着,chén zhuó,steady
陈旧,chén jiù,old-fashioned
陈列,chén liè,to display
陈述,chén shù,an assertion
称心如意,chèn xīn rú yì,after one's heart (idiom); gratifying and satisfactory
称号,chēng hào,name
盛,chéng,to hold
橙,chéng,orange tree
乘务员,chéng wù yuán,attendant on an airplane
承办,chéng bàn,to undertake
承包,chéng bāo,to contract
承诺,chéng nuò,to promise
城堡,chéng bǎo,castle
成本,chéng běn,(manufacturing
成交,chéng jiāo,to complete a contract
成天,chéng tiān,(coll.) all day long
成效,chéng xiào,effect
成心,chéng xīn,intentional
成员,chéng yuán,member
惩罚,chéng fá,penalty
诚挚,chéng zhì,sincere
澄清,chéng qīng,clear (of liquid)
呈现,chéng xiàn,to appear
秤,chèng,steelyard
吃苦,chī kǔ,to bear
吃力,chī lì,to entail strenuous effort
迟缓,chí huǎn,slow
迟疑,chí yí,to hesitate
持久,chí jiǔ,lasting
池塘,chí táng,pool
赤道,chì dào,equator (of the earth or astronomical body)
赤字,chì zì,(financial) deficit
冲动,chōng dòng,to have an urge
冲击,chōng jī,an attack
冲突,chōng tū,conflict
充当,chōng dāng,to serve as
充沛,chōng pèi,abundant
充实,chōng shí,rich
充足,chōng zú,adequate
崇拜,chóng bài,to worship
崇高,chóng gāo,majestic
崇敬,chóng jìng,to revere
重叠,chóng dié,to overlap
重阳节,Chóng yáng jié,Double Ninth or Yang Festival
抽空,chōu kòng,to find the time to do sth
筹备,chóu bèi,preparations
踌躇,chóu chú,to hesitate
稠密,chóu mì,dense
丑恶,chǒu è,ugly
出路,chū lù,a way out (of a difficulty etc)
出卖,chū mài,to offer for sale
出身,chū shēn,to be born of
出神,chū shén,entranced
出息,chū xi,future prospects
出洋相,chū yáng xiàng,to make a fool of oneself
初步,chū bù,initial
储备,chǔ bèi,reserves
储存,chǔ cún,stockpile
储蓄,chǔ xù,to deposit money
处分,chǔ fèn,to discipline sb
处境,chǔ jìng,plight
处置,chǔ zhì,to handle
触犯,chù fàn,to offend
穿越,chuān yuè,to pass through
川流不息,chuān liú bù xī,the stream flows without stopping (idiom); unending flow
船舶,chuán bó,shipping
传达,chuán dá,to pass on
传单,chuán dān,leaflet
传授,chuán shòu,to impart
喘气,chuǎn qì,to breathe deeply
串,chuàn,to string together
床单,chuáng dān,bed sheet
创立,chuàng lì,to establish
创新,chuàng xīn,innovation
创业,chuàng yè,to begin an undertaking
创作,chuàng zuò,to create
吹牛,chuī niú,to talk big
吹捧,chuī pěng,to flatter
锤,chuí,hammer
垂直,chuí zhí,perpendicular
纯粹,chún cuì,purely
纯洁,chún jié,pure
词汇,cí huì,vocabulary
慈祥,cí xiáng,kindly
雌雄,cí xióng,male and female
刺,cì,thorn
次品,cì pǐn,substandard products
次序,cì xù,sequence
伺候,cì hòu,to serve
丛,cóng,cluster
从容不迫,cóng róng bù pò,calm
凑合,còu he,to bring together
粗鲁,cū lǔ,crude
窜,cuàn,to flee
摧残,cuī cán,to ravage
脆弱,cuì ruò,weak
搓,cuō,to rub or roll between the hands or fingers
磋商,cuō shāng,to consult
挫折,cuò zhé,setback
搭,dā,to put up
搭档,dā dàng,to cooperate
搭配,dā pèi,to pair up
答辩,dá biàn,to reply (to an accusation)
答复,dá fù,to answer
达成,dá chéng,to reach (an agreement)
打包,dǎ bāo,to wrap
打官司,dǎ guān si,to file a lawsuit
打击,dǎ jī,to hit
打架,dǎ jià,to fight
打量,dǎ liang,to size sb up
打猎,dǎ liè,to go hunting
打仗,dǎ zhàng,to fight a battle
大不了,dà bù liǎo,at worst
大臣,dà chén,chancellor (of a monarchy)
大伙儿,dà huǒ r,erhua variant of 大伙[dà huǒ]
大厦,dà shà,large building
大肆,dà sì,wantonly
大体,dà tǐ,in general
大意,dà yi,careless
大致,dà zhì,more or less
歹徒,dǎi tú,evil-doer
带领,dài lǐng,to guide
代价,dài jià,price
代理,dài lǐ,to act on behalf of sb in a responsible position
逮捕,dài bǔ,to arrest
怠慢,dài màn,to slight
担保,dān bǎo,to guarantee
胆怯,dǎn qiè,timid
淡季,dàn jì,off season
淡水,dàn shuǐ,potable water (water with low salt content)
蛋白质,dàn bái zhì,protein
诞辰,dàn chén,birthday
诞生,dàn shēng,to be born
当场,dāng chǎng,at the scene
当初,dāng chū,at that time
当面,dāng miàn,to sb's face
当前,dāng qián,current
当事人,dāng shì rén,persons involved or implicated
当务之急,dāng wù zhī jí,top priority job
当心,dāng xīn,to take care
当选,dāng xuǎn,to be elected
党,dǎng,party
档案,dàng àn,file
档次,dàng cì,grade
岛屿,dǎo yǔ,island
倒闭,dǎo bì,to go bankrupt
导弹,dǎo dàn,guided missile
导航,dǎo háng,navigation
导向,dǎo xiàng,to be oriented towards
捣乱,dǎo luàn,to disturb
稻谷,dào gǔ,rice crops
盗窃,dào qiè,to steal
得不偿失,dé bù cháng shī,(saying) the gains do not make up for the losses
得力,dé lì,able
得天独厚,dé tiān dú hòu,(of an area) rich in resources
得罪,dé zuì,to commit an offense
蹬,dēng,to step on
灯笼,dēng lóng,lantern
登陆,dēng lù,to land
登录,dēng lù,to register
等级,děng jí,grade
瞪,dèng,to open (one's eyes) wide
堤坝,dī bà,dam
敌视,dí shì,hostile
抵达,dǐ dá,to arrive
抵抗,dǐ kàng,to resist
抵制,dǐ zhì,to resist
递增,dì zēng,to increase by degrees
地步,dì bù,condition
地势,dì shì,terrain
地质,dì zhì,geology
颠簸,diān bǒ,to shake
颠倒,diān dǎo,to turn upside-down
点缀,diǎn zhuì,to decorate
典礼,diǎn lǐ,celebration
典型,diǎn xíng,model
垫,diàn,pad
电源,diàn yuán,electric power source
奠定,diàn dìng,to establish
惦记,diàn jì,to think of
叼,diāo,to hold in the mouth
雕刻,diāo kè,to carve
雕塑,diāo sù,a statue
吊,diào,a string of 100 cash (arch.)
调动,diào dòng,to transfer
跌,diē,to drop
盯,dīng,to watch attentively
叮嘱,dīng zhǔ,to warn repeatedly
定期,dìng qī,regularly
定义,dìng yì,definition
丢人,diū rén,to lose face
丢三落四,diū sān là sì,forgetful
东道主,dōng dào zhǔ,host
东张西望,dōng zhāng xī wàng,to look in all directions (idiom)
董事长,dǒng shì zhǎng,chairman of the board
栋,dòng,classifier for houses or buildings
冻结,dòng jié,to freeze (loan
洞穴,dòng xué,cave
动荡,dòng dàng,unrest (social or political)
动机,dòng jī,motor
动静,dòng jìng,sound of activity or people talking
动力,dòng lì,power
动脉,dòng mài,artery
动身,dòng shēn,to go on a journey
动手,dòng shǒu,to set about (a task)
动态,dòng tài,development
动员,dòng yuán,to mobilize
兜,dōu,pocket
陡峭,dǒu qiào,precipitous
斗争,dòu zhēng,a struggle
督促,dū cù,to supervise and urge completion of a task
都市,dū shì,city
独裁,dú cái,dictatorship
毒品,dú pǐn,drugs
赌博,dǔ bó,to gamble
堵塞,dǔ sè,to block
杜绝,dù jué,to put an end to
端,duān,end
端午节,Duān wǔ jié,the Dragon Boat Festival (5th day of the 5th lunar month)
端正,duān zhèng,upright
短促,duǎn cù,short in time
断定,duàn dìng,to conclude
断断续续,duàn duàn xù xù,intermittent
断绝,duàn jué,to sever
堆积,duī jī,to pile up
对策,duì cè,countermeasure for dealing with a situation
对称,duì chèn,symmetry
对付,duì fu,to handle
对抗,duì kàng,to withstand
对立,duì lì,to oppose
对联,duì lián,rhyming couplet
对应,duì yìng,to correspond
对照,duì zhào,to contrast
兑换,duì huàn,to convert
兑现,duì xiàn,(of a cheque etc) to cash
队伍,duì wǔ,ranks
顿时,dùn shí,immediately
多元化,duō yuán huà,diversification
哆嗦,duō suo,to tremble
堕落,duò luò,to morally degenerate
额外,é wài,extra
恶心,è xīn,bad habit
恶化,è huà,to worsen
遏制,è zhì,to check
恩怨,ēn yuàn,(feeling of) resentment
而已,ér yǐ,that's all
耳环,ěr huán,earring
二氧化碳,èr yǎng huà tàn,carbon dioxide CO2
发布,fā bù,to release
发财,fā cái,to get rich
发呆,fā dāi,to stare blankly
发动,fā dòng,to start
发火,fā huǒ,to catch fire
发觉,fā jué,to find
发射,fā shè,to shoot (a projectile)
发誓,fā shì,to vow
发行,fā xíng,to publish
发炎,fā yán,to become inflamed
发扬,fā yáng,to develop
发育,fā yù,to develop
法人,fǎ rén,legal person
番,fān,foreign
繁华,fán huá,flourishing
繁忙,fán máng,busy
繁体字,fán tǐ zì,traditional Chinese character
繁殖,fán zhí,to breed
反驳,fǎn bó,to retort
反常,fǎn cháng,unusual
反倒,fǎn dào,but on the contrary
反动,fǎn dòng,reaction
反感,fǎn gǎn,to be disgusted with
反抗,fǎn kàng,to resist
反馈,fǎn kuì,to send back information
反面,fǎn miàn,reverse side
反射,fǎn shè,to reflect
反思,fǎn sī,to think back over sth
反问,fǎn wèn,to ask (a question) in reply
反之,fǎn zhī,on the other hand...
范畴,fàn chóu,category
泛滥,fàn làn,to be in flood
贩卖,fàn mài,to sell
方位,fāng wèi,direction
方言,fāng yán,dialect
方针,fāng zhēn,policy
防守,fáng shǒu,to defend
防疫,fáng yì,disease prevention
防御,fáng yù,defense
防止,fáng zhǐ,to prevent
防治,fáng zhì,prevention and cure
纺织,fǎng zhī,spinning and weaving
放大,fàng dà,to enlarge
放射,fàng shè,to radiate
放手,fàng shǒu,to let go one's hold
非法,fēi fǎ,illegal
飞禽走兽,fēi qín zǒu shòu,birds and animals
飞翔,fēi xiáng,to fly
飞跃,fēi yuè,to leap
肥沃,féi wò,fertile
诽谤,fěi bàng,to slander
匪徒,fěi tú,gangster
废除,fèi chú,to abolish
废墟,fèi xū,ruins
沸腾,fèi téng,boiling
分辨,fēn biàn,to distinguish
分寸,fēn cùn,propriety
分红,fēn hóng,a bonus
分解,fēn jiě,to resolve
分裂,fēn liè,to split up
分泌,fēn mì,to secrete
分明,fēn míng,clearly demarcated
分歧,fēn qí,difference (of opinion
分散,fēn sàn,to scatter
分手,fēn shǒu,to split up
吩咐,fēn fù,to tell
坟墓,fén mù,sepulcher
粉末,fěn mò,fine powder
粉色,fěn sè,white
粉碎,fěn suì,to crush
分量,fèn liang,quantity
风暴,fēng bào,storm
风度,fēng dù,elegance (for men)
风光,fēng guāng,scene
风气,fēng qì,general mood
风趣,fēng qù,humor
风土人情,fēng tǔ rén qíng,local conditions and customs (idiom)
风味,fēng wèi,local flavor
封闭,fēng bì,to seal
封建,fēng jiàn,system of enfeoffment
封锁,fēng suǒ,to blockade
丰满,fēng mǎn,ample
丰盛,fēng shèng,rich
丰收,fēng shōu,bumper harvest
锋利,fēng lì,sharp (e.g. knife blade)
逢,féng,to meet by chance
奉献,fèng xiàn,to consecrate
否决,fǒu jué,veto
夫妇,fū fù,a (married) couple
夫人,fū ren,lady
敷衍,fū yǎn,to elaborate (on a theme)
幅度,fú dù,width
服气,fú qì,to be convinced
符号,fú hào,symbol
福利,fú lì,(material) welfare
福气,fú qi,good fortune
俘虏,fú lǔ,captive
辐射,fú shè,radiation
腐败,fǔ bài,corruption
腐烂,fǔ làn,to rot
腐蚀,fǔ shí,corrosion
腐朽,fǔ xiǔ,rotten
辅助,fǔ zhù,to assist
抚养,fǔ yǎng,to foster
俯仰,fǔ yǎng,lowering and raising of the head
富裕,fù yù,prosperous
副,fù,secondary
副作用,fù zuò yòng,side effect
负担,fù dān,burden
覆盖,fù gài,to cover
附和,fù hè,to parrot
附件,fù jiàn,enclosure
附属,fù shǔ,subsidiary
复活,fù huó,resurrection
复兴,fù xīng,to revive
腹泻,fù xiè,diarrhea
赋予,fù yǔ,to assign
改良,gǎi liáng,to improve
盖章,gài zhāng,to affix a seal (to sth)
干旱,gān hàn,drought
干扰,gān rǎo,to interfere
干涉,gān shè,to interfere
干预,gān yù,to meddle
尴尬,gān gà,awkward
甘心,gān xīn,to be willing to
感慨,gǎn kǎi,to sigh with sorrow
感染,gǎn rǎn,infection
干劲,gàn jìn,enthusiasm for doing sth
纲领,gāng lǐng,program
港口,gǎng kǒu,port
港湾,gǎng wān,natural harbor
岗位,gǎng wèi,a post
杠杆,gàng gǎn,lever
高超,gāo chāo,excellent
高潮,gāo cháo,high tide
高峰,gāo fēng,peak
高考,gāo kǎo,college entrance exam (abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试)
高明,gāo míng,brilliant
高尚,gāo shàng,noble
高涨,gāo zhǎng,upsurge
稿件,gǎo jiàn,rough draft
告辞,gào cí,to say goodbye
告诫,gào jiè,to warn
割,gē,to cut
搁,gē,to place
疙瘩,gē da,swelling or lump on skin
歌颂,gē sòng,to sing the praises of
隔阂,gé hé,estrangement
隔离,gé lí,to separate
格局,gé jú,structure
格式,gé shì,form
个体,gè tǐ,individual
各抒己见,gè shū jǐ jiàn,everyone gives their own view
根深蒂固,gēn shēn dì gù,deep-rooted (problem etc)
根源,gēn yuán,origin
跟前,gēn qián,in front of
跟随,gēn suí,to follow
跟踪,gēn zōng,to follow sb's tracks
耕地,gēng dì,arable land
更新,gēng xīn,to replace the old with new
更正,gēng zhèng,to correct
公安局,gōng ān jú,public security bureau
公道,gōng dao,fair
公告,gōng gào,post
公关,gōng guān,public relations
公民,gōng mín,citizen
公婆,gōng pó,husband's parents
公然,gōng rán,openly
公认,gōng rèn,publicly known (to be)
公式,gōng shì,formula
公务,gōng wù,official business
公正,gōng zhèng,just
公证,gōng zhèng,notarization
供不应求,gōng bù yìng qiú,supply does not meet demand
供给,gōng jǐ,to furnish
工夫,gōng fu,time
工艺品,gōng yì pǐn,handicraft article
宫殿,gōng diàn,palace
功课,gōng kè,homework
功劳,gōng láo,contribution
功效,gōng xiào,efficacy
攻击,gōng jī,to attack
攻克,gōng kè,to capture
恭敬,gōng jìng,deferential
巩固,gǒng gù,to consolidate
共和国,gòng hé guó,republic
共计,gòng jì,to sum up to
共鸣,gòng míng,resonance (physics)
勾结,gōu jié,to collude with
钩子,gōu zi,hook
构思,gòu sī,to design
孤独,gū dú,lonely
孤立,gū lì,isolate
辜负,gū fù,to fail to live up (to expectations)
姑且,gū qiě,temporarily
古董,gǔ dǒng,curio
古怪,gǔ guài,eccentric
股东,gǔ dōng,shareholder
股份,gǔ fèn,a share (in a company)
鼓动,gǔ dòng,to agitate
骨干,gǔ gàn,diaphysis (long segment of a bone)
固然,gù rán,admittedly (it's true that...)
固有,gù yǒu,intrinsic to sth
固执,gù zhí,obstinate
顾虑,gù lǜ,misgivings
顾问,gù wèn,adviser
故乡,gù xiāng,home
故障,gù zhàng,malfunction
拐杖,guǎi zhàng,crutches
关照,guān zhào,to take care
官方,guān fāng,official
观光,guān guāng,to tour
管辖,guǎn xiá,to administer
罐,guàn,can
贯彻,guàn chè,to implement
灌溉,guàn gài,to irrigate
惯例,guàn lì,convention
光彩,guāng cǎi,luster
光辉,guāng huī,radiance
光芒,guāng máng,rays of light
广阔,guǎng kuò,wide
规范,guī fàn,norm
规格,guī gé,standard
规划,guī huà,to plan (how to do sth)
规章,guī zhāng,rule
归根到底,guī gēn dào dǐ,(saying) to sum it up...
归还,guī huán,to return sth
归纳,guī nà,to sum up
轨道,guǐ dào,orbit
跪,guì,to kneel
贵族,guì zú,lord
棍棒,gùn bàng,club
国防,guó fáng,national defense
国务院,Guó Wù Yuàn,State Council (PRC)
果断,guǒ duàn,firm
过度,guò dù,excessive
过渡,guò dù,to cross over (by ferry)
过奖,guò jiǎng,to over-praise
过滤,guò lǜ,to filter
过失,guò shī,defect
过问,guò wèn,to show an interest in
过瘾,guò yǐn,to satisfy a craving
过于,guò yú,too much
嗨,hāi,oh alas
海拔,hǎi bá,height above sea level
海滨,hǎi bīn,shore
含糊,hán hú,obscurity
含义,hán yì,meaning (implicit in a phrase)
寒暄,hán xuān,exchanging conventional greetings
罕见,hǎn jiàn,rare
捍卫,hàn wèi,to defend
航空,háng kōng,aviation
航天,háng tiān,space flight
航行,háng xíng,to sail
行列,háng liè,procession
豪迈,háo mài,bold
毫米,háo mǐ,millimeter
毫无,háo wú,not in the least
号召,hào zhào,to call
耗费,hào fèi,to waste
好客,hào kè,hospitality
呵,hē,expel breath
和蔼,hé ǎi,kindly
和解,hé jiě,to settle (a dispute out of court)
和睦,hé mù,peaceful relations
和气,hé qi,friendly
和谐,hé xié,harmonious
合并,hé bìng,to merge
合成,hé chéng,to compose
合乎,hé hū,to accord with
合伙,hé huǒ,to act jointly
合身,hé shēn,well-fitting (of clothes)
合算,hé suàn,worthwhile
嘿,hēi,hey
痕迹,hén jì,vestige
狠心,hěn xīn,callous
恨不得,hèn bu dé,wishing one could do sth
哼,hēng,to groan
哄,hōng,roar of laughter (onomatopoeia)
烘,hōng,to bake
轰动,hōng dòng,to cause a sensation
红包,hóng bāo,lit. money wrapped in red as a gift
宏观,hóng guān,macro-
宏伟,hóng wěi,grand
洪水,hóng shuǐ,deluge
喉咙,hóu lóng,throat
吼,hǒu,roar or howl of an animal
后代,hòu dài,posterity
后顾之忧,hòu gù zhī yōu,fears of trouble in the rear (idiom); family worries (obstructing freedom of action)
后勤,hòu qín,logistics
候选,hòu xuǎn,candidate
忽略,hū lvè,to neglect
呼啸,hū xiào,to whistle
呼吁,hū yù,to call on (sb to do sth)
胡乱,hú luàn,careless
湖泊,hú pō,lake
互联网,Hù lián wǎng,the Internet
花瓣,huā bàn,petal
华丽,huá lì,gorgeous
华侨,huá qiáo,overseas Chinese
画蛇添足,huà shé tiān zú,lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous
化肥,huà féi,fertilizer
化石,huà shí,fossil
化验,huà yàn,laboratory test
化妆,huà zhuāng,to put on makeup
划分,huà fēn,to divide
话筒,huà tǒng,microphone
怀孕,huái yùn,pregnant
欢乐,huān lè,gaiety
还原,huán yuán,to restore to the original state
环节,huán jié,round segment
缓和,huǎn hé,to ease (tension)
患者,huàn zhě,patient
荒凉,huāng liáng,desolate
荒谬,huāng miù,absurd
荒唐,huāng táng,beyond belief
慌忙,huāng máng,in a great rush
黄昏,huáng hūn,dusk
恍然大悟,huǎng rán dà wù,to suddenly realize
挥霍,huī huò,to squander money
辉煌,huī huáng,splendid
回报,huí bào,(in) return
回避,huí bì,to shun
回顾,huí gù,to look back
回收,huí shōu,to recycle
悔恨,huǐ hèn,remorse
毁灭,huǐ miè,to perish
会晤,huì wù,to meet
汇报,huì bào,to report
贿赂,huì lù,to bribe
昏迷,hūn mí,to lose consciousness
浑身,hún shēn,all over
混合,hùn hé,to mix
混乱,hùn luàn,confusion
混淆,hùn xiáo,to obscure
混浊,hùn zhuó,turbid
活该,huó gāi,(coll.) serve sb right
活力,huó lì,energy
火箭,huǒ jiàn,rocket
火焰,huǒ yàn,blaze
火药,huǒ yào,gunpowder
货币,huò bì,currency
或许,huò xǔ,perhaps
基地,jī dì,base (of operations)
基金,jī jīn,fund
基因,jī yīn,gene (loanword)
机动,jī dòng,locomotive
机构,jī gòu,mechanism
机关,jī guān,mechanism
机灵,jī líng,clever
机密,jī mì,secret
机械,jī xiè,machine
机遇,jī yù,opportunity
机智,jī zhì,quick-witted
激发,jī fā,to arouse
激励,jī lì,to encourage
激情,jī qíng,passion
饥饿,jī è,hunger
讥笑,jī xiào,to sneer
极端,jí duān,extreme
极限,jí xiàn,limit
即便,jí biàn,even if
即将,jí jiāng,on the eve of
级别,jí bié,(military) rank
疾病,jí bìng,disease
嫉妒,jí dù,to be jealous
及早,jí zǎo,at the earliest possible time
急功近利,jí gōng jìn lì,seeking instant benefit (idiom); shortsighted vision
急剧,jí jù,rapid
急切,jí qiè,eager
急于求成,jí yú qiú chéng,anxious for quick results (idiom); to demand instant success
急躁,jí zào,irritable
籍贯,jí guàn,one's native place
集团,jí tuán,group
吉祥,jí xiáng,lucky
